time,vx,vy,vz,cmd_axis,cmd_vel
0.0002868175506591797,0.004057319834828377,0.017937444150447845,-0.0893007218837738,x,3.0
0.05089211463928223,0.004057319834828377,0.017937444150447845,-0.0893007218837738,x,3.0
0.10129880905151367,0.003389718011021614,0.01941072568297386,-0.08525877445936203,x,3.0
0.1519017219543457,0.003389718011021614,0.01941072568297386,-0.08525877445936203,x,3.0
0.20238113403320312,0.00264943391084671,0.02086351439356804,-0.07896964997053146,x,3.0
0.25299763679504395,0.00264943391084671,0.02086351439356804,-0.07896964997053146,x,3.0
0.3034029006958008,0.0014894794439896941,0.022689880803227425,-0.07317981123924255,x,3.0
0.35408949851989746,0.0014894794439896941,0.022689880803227425,-0.07317981123924255,x,3.0
0.4045712947845459,0.037141088396310806,0.020647021010518074,-0.03388084098696709,x,3.0
0.45499563217163086,0.037141088396310806,0.020647021010518074,-0.03388084098696709,x,3.0
0.5053679943084717,0.037141088396310806,0.020647021010518074,-0.03388084098696709,x,3.0
0.5558123588562012,0.4845278263092041,0.01612260937690735,0.16173873841762543,x,3.0
0.606438398361206,0.4845278263092041,0.01612260937690735,0.16173873841762543,x,3.0
0.6568541526794434,0.8685015439987183,0.018142765387892723,0.0753917247056961,x,3.0
0.7075421810150146,0.8685015439987183,0.018142765387892723,0.0753917247056961,x,3.0
0.7579236030578613,1.2519205808639526,0.018861209973692894,-0.01118103601038456,x,3.0
0.8085846900939941,1.2519205808639526,0.018861209973692894,-0.01118103601038456,x,3.0
0.8589532375335693,1.5289937257766724,0.019867073744535446,-0.03926364332437515,x,3.0
0.9096240997314453,1.5289937257766724,0.019867073744535446,-0.03926364332437515,x,3.0
0.9600372314453125,1.746536374092102,0.019474342465400696,-0.03814500570297241,x,3.0
1.010460615158081,1.746536374092102,0.019474342465400696,-0.03814500570297241,x,3.0
1.060899019241333,1.9007694721221924,0.019652262330055237,-0.03280244395136833,x,3.0
1.1113624572753906,1.9007694721221924,0.019652262330055237,-0.03280244395136833,x,3.0
1.1617796421051025,2.044616460800171,0.01884274370968342,-0.03334243968129158,x,3.0
1.2122480869293213,2.044616460800171,0.01884274370968342,-0.03334243968129158,x,3.0
1.262557029724121,2.1634604930877686,0.01735314354300499,-0.03742015361785889,x,3.0
